,planning_area,subzone,region,tree cover,shrubland,grassland,cropland,built-up,bare / sparse vegetation,snow and ice,permanent water bodies,herbaceous wetland,mangroves,moss and lichen,min_ndvi,mean_ndvi,max_ndvi
151,NOVENA,MALCOLM,CENTRAL REGION,59,0,4,0,69,1,0,1,0,0,0,0.10064340057532625,0.17255749074738866,0.270336696743921
152,BEDOK,BEDOK SOUTH,EAST REGION,45,0,4,1,249,2,0,2,0,0,0,0.07434742821361524,0.13708018274512454,0.2048604852653084
153,HOUGANG,DEFU INDUSTRIAL PARK,NORTH-EAST REGION,27,0,7,1,161,4,0,0,0,0,0,0.07111814618755728,0.14250633723145323,0.20451015120092264
154,PAYA LEBAR,PAYA LEBAR EAST,EAST REGION,77,0,68,1,24,27,0,33,0,0,0,0.1007885674097459,0.20369721088240517,0.3075298710905136
155,BUKIT BATOK,HONG KAH NORTH,WEST REGION,15,0,2,1,71,1,0,0,0,0,0,0.07938147930151401,0.19254248179388533,0.31469872754881734
156,HOUGANG,KOVAN,NORTH-EAST REGION,10,0,4,0,183,1,0,0,0,0,0,0.06873453002122615,0.1237388912693214,0.17729131018077804
157,ANG MO KIO,CHONG BOON,NORTH-EAST REGION,20,0,2,0,88,1,0,0,0,0,0,0.0824047747052322,0.14567310071443323,0.2119501690878033
158,SERANGOON,SERANGOON GARDEN,NORTH-EAST REGION,27,0,7,0,270,1,0,0,0,0,0,0.0700347368525281,0.12654468809276576,0.19064818178771986
159,HOUGANG,HOUGANG CENTRAL,NORTH-EAST REGION,5,0,8,0,30,2,0,0,0,0,0,0.0723514548017959,0.13833265640525724,0.20449377951871595
160,PASIR RIS,LOYANG EAST,EAST REGION,31,0,9,0,59,1,0,0,0,0,0,0.08484712291964039,0.1792649673095099,0.27998757092661447
161,BUKIT PANJANG,DAIRY FARM,WEST REGION,43,0,10,0,71,2,0,0,0,0,0,0.07567649560104502,0.20867267855605964,0.34117869462707257
162,PASIR RIS,PASIR RIS DRIVE,EAST REGION,15,0,6,1,140,1,0,3,0,0,0,0.07728530094193752,0.14513164669775092,0.215772110798716
163,TAMPINES,TAMPINES NORTH,EAST REGION,79,0,48,1,112,17,0,1,0,0,0,0.09055356547408708,0.1737289472163087,0.25535189290037497
164,ANG MO KIO,CHENG SAN,NORTH-EAST REGION,18,0,2,0,76,1,0,0,0,0,0,0.08899308255450639,0.1516625975512342,0.2235448807325354
165,ANG MO KIO,SEMBAWANG HILLS,NORTH-EAST REGION,18,0,4,0,68,0,0,0,0,0,0,0.08434355116357513,0.18484285982529586,0.28302645767903417
166,BUKIT PANJANG,JELEBU,WEST REGION,12,0,2,0,79,1,0,0,0,0,0,0.0668507182704266,0.16081296525527458,0.24227163199999785
167,CHOA CHU KANG,KEAT HONG,WEST REGION,20,0,10,0,81,5,0,0,0,0,0,0.06608972285757275,0.16898006831139772,0.271478644097391
168,KALLANG,BENDEMEER,CENTRAL REGION,22,0,5,1,106,2,0,5,1,0,0,0.0571057581347875,0.1242735961439249,0.19184694226921675
169,NOVENA,BALESTIER,CENTRAL REGION,48,0,3,0,140,1,0,3,0,0,0,0.06413995095541275,0.12808617525887833,0.1845735615019616
170,TUAS,TUAS PROMENADE,WEST REGION,45,0,67,1,186,61,0,56,0,0,0,0.04927733387625847,0.08580342631700212,0.1264881847421126
171,SERANGOON,SERANGOON CENTRAL,NORTH-EAST REGION,11,0,3,0,94,1,0,1,0,0,0,0.060701185870442605,0.11983497187010433,0.1732495960331535
172,BISHAN,BISHAN EAST,CENTRAL REGION,35,0,8,0,131,3,0,4,0,0,0,0.07543316139265786,0.12827666390471534,0.18415729601718153
173,TAMPINES,TAMPINES WEST,EAST REGION,40,0,19,3,268,20,0,1,0,0,0,0.0851080813803352,0.14644890864981588,0.21719698324079995
174,BUKIT BATOK,BRICKWORKS,WEST REGION,43,0,11,0,69,2,0,0,0,0,0,0.07285133005587914,0.1611562384929507,0.25417787072603387
175,SERANGOON,SERANGOON NORTH,NORTH-EAST REGION,7,0,1,0,62,1,0,0,0,0,0,0.07339624709739062,0.13555278954355968,0.19953649773165544
176,BUKIT BATOK,GUILIN,WEST REGION,64,0,4,0,40,1,0,3,0,0,0,0.08402173775545817,0.19644112802791572,0.31339902361698996
177,JURONG WEST,WENYA,WEST REGION,35,0,50,1,85,29,0,0,0,0,0,0.08386080791219964,0.15916394645712953,0.2652312557463949
