latitude,longitude,land_use_label,distance_to_waterbody,distance_to_open_space,subzone,planning_area,region,elevation,temp_2024_04_07_min,temp_2024_04_07_max,temp_2024_04_07_median,temp_2024_04_08_min,temp_2024_04_08_max,temp_2024_04_08_median,temp_2024_04_09_min,temp_2024_04_09_max,temp_2024_04_09_median,temp_2024_04_10_min,temp_2024_04_10_max,temp_2024_04_10_median
1.335026606,103.6438762,BUSINESS 2,0.003957282542,0.01050375619,TUAS NORTH,TUAS,WEST REGION,13,33.60357067,34.03291929,33.60357067,28.45138729,34.89161652,30.65398287,26.04010928,35.69345547,33.48192025,26.04010928,32.17519363,31.52939527
1.331291243,103.6504057,BUSINESS 2,0.002926550728,0.006540053229,TUAS NORTH,TUAS,WEST REGION,12,34.03291929,34.46226791,34.03291929,28.02203868,35.75031375,32.49558007,26.04010928,36.46875895,32.31896503,26.04010928,32.82099198,31.52939527
1.330016093,103.6451358,WATERBODY,0,0.01143379103,TUAS NORTH,TUAS,WEST REGION,9,33.60357067,34.03291929,33.60357067,28.45138729,34.46226791,31.27007954,26.04010928,35.30580373,32.57754346,26.04010928,32.17519363,31.52939527
1.326463999,103.6417894,WATERBODY,0,0.01620787046,TUAS BAY,TUAS,WEST REGION,6,30.16878175,33.60357067,30.16878175,28.02203868,34.03291929,30.26633113,26.36300846,34.918152,31.42928635,27.33170599,32.17519363,31.04504651
1.324875084,103.6481866,ROAD,0.002244624024,0.01247790893,TUAS NORTH,TUAS,WEST REGION,11,34.03291929,34.46226791,34.03291929,27.16334145,34.89161652,31.42928635,26.04010928,35.69345547,31.42928635,26.04010928,32.17519363,31.52939527
1.418507855,103.9088225,RESIDENTIAL,0.005733700663,0.0004723544962,NORTHSHORE,PUNGGOL,NORTH-EAST REGION,18,28.88073591,28.88073591,28.88073591,26.73399283,29.31008452,28.88073591,27.65460516,30.26633113,29.49102765,27.00880681,27.97750434,27.65460516
1.414354859,103.9033533,RESIDENTIAL,0.002349093319,0.002033149017,NORTHSHORE,PUNGGOL,NORTH-EAST REGION,20,28.88073591,28.88073591,28.88073591,26.73399283,29.31008452,28.88073591,27.65460516,30.26633113,29.49102765,27.00880681,27.97750434,27.65460516
1.402345388,103.8983318,OPEN SPACE,0.00586166517,0,MATILDA,PUNGGOL,NORTH-EAST REGION,21,31.88617621,33.60357067,33.17422206,28.02203868,34.03291929,30.26633113,26.36300846,34.918152,31.69084486,26.36300846,31.85229445,31.04504651
1.347607435,103.6392644,RESERVE SITE,0.0009390538776,0.001900598324,TENGEH,TUAS,WEST REGION,13,28.88073591,29.31008452,28.88073591,27.59269006,29.31008452,28.88073591,27.33170599,30.26633113,29.49102765,27.33170599,27.97750434,27.65460516
1.329050329,103.6557872,BUSINESS 2,0.0004006296865,0.004687950172,TUAS NORTH,TUAS,WEST REGION,10,33.60357067,34.03291929,34.03291929,28.02203868,34.89161652,31.42928635,26.04010928,35.69345547,32.78606743,26.04010928,32.17519363,31.52939527
1.317468393,103.6518883,WATERBODY,0,0.01687467313,TUAS BAY,TUAS,WEST REGION,11,28.45138729,30.16878175,28.6660616,27.16334145,30.26633113,29.87867939,28.62330269,31.52939527,30.460157,27.33170599,31.52939527,28.30040351
1.322727296,103.6596555,BUSINESS 2,0.001994245946,0.008992477785,TUAS NORTH,TUAS,WEST REGION,9,28.45138729,33.60357067,29.52475883,28.02203868,34.46226791,30.26633113,29.87867939,34.918152,32.17519363,26.68590763,32.17519363,31.2064961
1.324170292,103.6528931,BUSINESS 2,0.001577819534,0.010312345,TUAS NORTH,TUAS,WEST REGION,17,33.60357067,34.03291929,33.60357067,28.45138729,34.89161652,31.42928635,26.04010928,35.69345547,32.78606743,26.04010928,32.17519363,31.52939527
1.318092965,103.658113,BUSINESS 2,0.004041254495,0.01385966567,TUAS NORTH,TUAS,WEST REGION,18,30.16878175,30.16878175,30.16878175,28.02203868,34.03291929,30.21755644,29.87867939,34.14284852,31.42928635,27.33170599,32.17519363,30.39924816
1.318127095,103.6459274,BUSINESS 2,0.001627165695,0.01908164032,TUAS BAY,TUAS,WEST REGION,10,30.16878175,33.60357067,31.02747898,28.02203868,34.03291929,30.26633113,29.87867939,34.918152,31.52939527,27.33170599,32.17519363,31.04504651
1.319821339,103.6396158,BUSINESS 2,0.00239269535,0.02227107902,TUAS BAY,TUAS,WEST REGION,10,30.16878175,33.17422206,30.16878175,27.16334145,34.03291929,30.21755644,29.87867939,34.53050026,31.47934081,27.33170599,31.85229445,28.62330269
1.313450515,103.6424742,BUSINESS 2,0.003940476138,0.02489485952,TUAS BAY,TUAS,WEST REGION,9,28.45138729,30.16878175,28.45138729,28.02203868,33.17422206,30.16878175,29.87867939,31.52939527,30.7687899,27.33170599,31.52939527,28.62330269
1.312996221,103.6524522,BUSINESS 2,0.003712191158,0.02077418953,TUAS BAY,TUAS,WEST REGION,9,28.45138729,30.16878175,28.45138729,27.16334145,32.31552483,29.87867939,28.62330269,31.52939527,30.65398287,27.33170599,31.52939527,28.13895393
1.310803237,103.6601005,ROAD,0.002382909406,0.02005961102,GUL CIRCLE,PIONEER,WEST REGION,11,28.45138729,33.60357067,33.17422206,28.02203868,34.03291929,30.26633113,26.36300846,34.918152,31.69084486,26.36300846,31.52939527,31.04504651
1.306696583,103.6501753,BUSINESS 2,0.008188761767,0.02746145711,TUAS BAY,TUAS,WEST REGION,9,28.45138729,30.16878175,28.45138729,28.02203868,33.17422206,30.16878175,29.87867939,31.52939527,30.65398287,27.33170599,31.52939527,28.62330269
1.323062674,103.6332733,BUSINESS 2,0.00205891561,0.02518011844,TUAS BAY,TUAS,WEST REGION,8,28.45138729,29.31008452,28.88073591,27.16334145,30.16878175,29.31008452,28.62330269,31.2064961,30.26633113,27.33170599,31.2064961,27.97750434
1.322325762,103.6436268,BUSINESS 2,0.001208425794,0.01757677175,TUAS BAY,TUAS,WEST REGION,13,28.45138729,33.60357067,30.16878175,28.02203868,34.03291929,30.26633113,29.87867939,34.918152,31.52939527,27.65460516,32.17519363,31.04504651
1.315559371,103.6284087,BUSINESS 2,0.0009848635697,0.03346128696,TUAS PROMENADE,TUAS,WEST REGION,8,28.88073591,29.31008452,28.88073591,27.59269006,29.31008452,28.88073591,27.33170599,30.65398287,29.68485352,27.33170599,28.62330269,27.65460516
1.308875634,103.62403,BUSINESS 2,0.001111341769,0.04110614015,TUAS PROMENADE,TUAS,WEST REGION,10,28.88073591,29.31008452,28.88073591,28.02203868,29.31008452,28.88073591,27.33170599,30.26633113,29.49102765,27.33170599,27.97750434,27.65460516
1.324515637,103.6376212,BUSINESS 2,0.001617824932,0.02073525944,TUAS BAY,TUAS,WEST REGION,10,30.16878175,33.60357067,30.16878175,28.02203868,34.03291929,30.26633113,29.87867939,34.918152,31.52939527,27.65460516,32.17519363,30.88359692
1.310152563,103.631691,BUSINESS 2,0.005110137199,0.03458094439,TUAS VIEW,TUAS,WEST REGION,11,28.88073591,29.31008452,29.31008452,27.59269006,30.16878175,29.31008452,28.62330269,30.65398287,30.26633113,27.33170599,30.88359692,27.97750434
1.317441053,103.6332941,ROAD,0.001855148477,0.02849300033,TUAS VIEW,TUAS,WEST REGION,1,28.88073591,29.31008452,28.88073591,28.02203868,29.49102765,29.09541021,27.33170599,30.65398287,29.87867939,27.33170599,28.62330269,27.97750434
1.301327581,103.6278009,BUSINESS 2,0.006068505185,0.0435904456,TUAS VIEW,TUAS,WEST REGION,10,30.16878175,33.17422206,30.16878175,27.16334145,34.03291929,30.16878175,29.87867939,34.53050026,31.47934081,27.33170599,31.85229445,28.62330269
1.294830442,103.6339645,BUSINESS 2,0.00657456299,0.0451402467,TUAS VIEW,TUAS,WEST REGION,9,28.45138729,29.31008452,29.31008452,27.16334145,30.16878175,29.31008452,28.62330269,30.65398287,30.26633113,27.33170599,30.88359692,27.97750434
