latitude,longitude,land_use_label,distance_to_waterbody,distance_to_open_space,temp_2024-04-07_15:00
1.3413711963600967,103.81693748045276,OPEN SPACE,0.0015715565793697,0.0,28.013557628958218
1.341741376575556,103.83493097991796,ROAD,0.0010460889576923,6.807073576402393e-05,30.225712110295987
1.376230123899023,103.73442799667684,PLACE OF WORSHIP,0.0006811471719432,0.0003332133297569,28.898419421493326
1.4042795737400366,103.86696120433676,ROAD,0.0091877182529937,0.0013412222379018,29.340850317760882
1.408582828951383,103.86717565384792,COMMERCIAL,0.0121836822060012,0.0014829796092864,29.340850317760882
1.33069530605428,103.63999112764488,BUSINESS 2,0.0021640776790721,0.0157682890845624,30.225712110295987
1.3366998838787274,103.63877183578413,BUSINESS 2,0.0015474381286484,0.0121771102459348,34.207590176703974
1.3334052483156893,103.6379168750912,BUSINESS 2,0.0013607859963518,0.0154256072989491,34.207590176703974
1.3307056038000349,103.63564192781747,BUSINESS 2,0.0025118066218932,0.0182374856816688,28.898419421493326
1.334557165435689,103.64127438520282,BUSINESS 2,0.0017230650345635,0.0130632918169607,34.207590176703974
1.3397905934825267,103.63558900487092,SPORTS & RECREATION,0.0015763636265139,0.0092746304986478,29.340850317760882
1.335470674848185,103.6357732103276,BUSINESS 2,0.0013426168723773,0.0134931292187186,28.898419421493326
1.3270674251517365,103.63279178625636,BUSINESS 2,0.0020213781908042,0.0223014825420623,28.45598852522577
1.332131129123819,103.6424977831822,BUSINESS 2,0.0020314013039575,0.0129287452894907,34.207590176703974
1.3426174560212414,103.63664357178884,SPORTS & RECREATION,0.0032338577475711,0.0062964289928181,28.898419421493326
1.3464438739671674,103.63665995021852,WATERBODY,0.0,0.0025845854196587,28.898419421493326
1.4399581322181036,103.85346243826343,WATERBODY,0.0,0.0082134805654222,28.013557628958218
1.4458477540023753,103.86659384584117,WATERBODY,0.0,0.0162801006354683,30.225712110295987
1.4543856085300426,103.85128288824694,RESERVE SITE,0.002612703094088,0.0149034256445928,28.013557628958218
1.45736429198854,103.85292255790536,WATERBODY,0.0,0.0154505663403993,30.225712110295987
1.443445522954516,103.86479452037548,RESERVE SITE,0.0019937556125455,0.0150828774693681,28.898419421493326
1.4177193642185624,103.9696863419584,SPORTS & RECREATION,0.0108624238657709,0.001913205823363,28.898419421493326
1.40722486796478,103.95386186061543,SPORTS & RECREATION,0.020199890392382,0.0003957932374617,28.898419421493326
1.415453574162752,104.04374150738528,WATERBODY,0.0,0.0,28.898419421493326
1.4357500748315413,104.0645006288083,OPEN SPACE,0.0211344655338898,0.0,30.225712110295987
1.4071162459782274,103.9783712920466,WATERBODY,0.0004848643155379,0.0007256708712808,29.340850317760882
1.4071398652801508,103.7733672619173,OPEN SPACE,0.008264347002753,0.0,28.013557628958218
1.4013746139760863,103.77956738470932,SPECIAL USE,0.0024226736440897,0.0005655334753224,27.571126732690665
1.3526012258934232,103.7904289120698,UTILITY,0.004464699373348,0.000953926163943,28.898419421493326
1.3361798306237254,103.6449665676248,BUSINESS 2,0.0043129446378142,0.0090303809985951,33.76515928043642
1.3336253665353937,103.64718375201524,BUSINESS 2,0.0009479593468077,0.0080105077379804,34.207590176703974
1.3312912428030288,103.6504057204719,BUSINESS 2,0.0029265507283215,0.0065400532289597,34.207590176703974
1.3345593014947137,103.65040477536876,BUSINESS 2,0.00068953792086,0.0046609799107282,33.32272838416887
1.3296833975243914,103.64813963121809,BUSINESS 2,0.0023757523065205,0.0092716548868759,33.76515928043642
1.3300160933433411,103.64513584210404,WATERBODY,0.0,0.011433791033706,33.76515928043642
1.3264639990775688,103.64178942121433,WATERBODY,0.0,0.0162078704558102,31.995435695366204
1.327299035152428,103.64589897322053,BUSINESS 2,0.0023577707981602,0.0125411564513677,34.207590176703974
1.3248750836318437,103.64818658195156,ROAD,0.0022446240242203,0.0124779089289487,34.207590176703974
1.329550364388728,103.65271830458332,ROAD,0.0021170436448934,0.0059729796506406,33.76515928043642
1.4185078546165817,103.90882254066491,RESIDENTIAL,0.005733700662524,0.0004723544962195,28.898419421493326
1.414354858814597,103.90335327296576,RESIDENTIAL,0.0023490933191959,0.0020331490170977,28.898419421493326
1.4159313183250823,103.90603887339176,RESIDENTIAL,0.0043460634698876,0.0007150843362219,28.898419421493326
1.402345388292934,103.89833180174789,OPEN SPACE,0.0058616651701784,0.0,33.32272838416887
1.3476074347627534,103.63926444095668,RESERVE SITE,0.0009390538775729,0.0019005983239495,28.898419421493326
1.338799386143866,103.64594974416882,UTILITY,0.0038345874911578,0.0073538118115054,28.45598852522577
1.3255777088646383,103.6363520387916,BUSINESS 2,0.0019910660071066,0.0212498437634491,28.45598852522577
1.328203762256286,103.63752012141892,BUSINESS 2,0.002198410860269,0.0190062998634839,30.225712110295987
1.3249445266782272,103.63932050690563,BUSINESS 2,0.0006801155377694,0.0190972515667773,30.225712110295987
1.3276399980595612,103.65000327614824,BUSINESS 2,0.0007525577302256,0.0092761515902172,34.207590176703974
1.3290503289276825,103.65578717945829,BUSINESS 2,0.0004006296864549,0.0046879501718897,34.207590176703974
1.3227122076118427,103.6457033593085,WATERBODY,0.0,0.0157671626898337,33.32272838416887
1.317468392861887,103.65188832195602,WATERBODY,0.0,0.0168746731320675,28.898419421493326
1.32272729631549,103.6596554884514,BUSINESS 2,0.0019942459456094,0.0089924777850661,28.898419421493326
1.325754207925255,103.65647561458876,BUSINESS 2,0.0023057408903658,0.0074576459837247,34.207590176703974
1.3183577919031448,103.65486541916644,BUSINESS 2,0.0014751990492129,0.0148955243512916,28.45598852522577
