latitude,longitude,land_use_label,distance_to_waterbody,distance_to_open_space,subzone,planning_area,region,elevation,temp_2024_04_07_min,temp_2024_04_07_max,temp_2024_04_07_median,temp_2024_04_08_min,temp_2024_04_08_max,temp_2024_04_08_median,temp_2024_04_09_min,temp_2024_04_09_max,temp_2024_04_09_median,temp_2024_04_10_min,temp_2024_04_10_max,temp_2024_04_10_median,Total_x,HDB Total,Condominiums & Other Apartments,Landed Properties_x,Other Dwellings_x,Floor_below_60,Floor_60-80,Floor_80-100,Floor_100-120,Floor_above_120,"Below $1,000","$1,000 - $1,999","$2,000 - $2,999","$3,000 - $3,999","$4,000 - $4,999","$5,000 - $5,999","$6,000 - $6,999","$7,000 - $7,999","$8,000 - $8,999","$9,000 - $9,999","$10,000 - 10,999","$11,000 - 11,999","$12,000 - $14,999","$15,000 & Over",tree cover,shrubland,grassland,cropland,built-up,bare / sparse vegetation,snow and ice,permanent water bodies,herbaceous wetland,mangroves,moss and lichen,min_ndvi,mean_ndvi,max_ndvi,avg_temp
1.401374614,103.7795674,SPECIAL USE,0.002422673644,0.0005655334753,CENTRAL WATER CATCHMENT,CENTRAL WATER CATCHMENT,NORTH REGION,40,27.16334145,28.02203868,27.59269006,27.59269006,28.88073591,27.9404207,27.00880681,29.49102765,27.9404207,26.36300846,27.33170599,27.00880681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.62058457
1.352601226,103.7904289,UTILITY,0.004464699373,0.0009539261639,CENTRAL WATER CATCHMENT,CENTRAL WATER CATCHMENT,NORTH REGION,58,28.88073591,28.88073591,28.88073591,27.59269006,29.31008452,28.88073591,27.65460516,30.26633113,29.49102765,27.33170599,27.97750434,27.65460516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.72677616
1.335026606,103.6438762,BUSINESS 2,0.003957282542,0.01050375619,TUAS NORTH,TUAS,WEST REGION,13,33.60357067,34.03291929,33.60357067,28.45138729,34.89161652,30.65398287,26.04010928,35.69345547,33.48192025,26.04010928,32.17519363,31.52939527,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,9,0,295,4,0,0,0,0,0,0.04889138175,0.09856656256,0.1500582635,32.31721727
1.331291243,103.6504057,BUSINESS 2,0.002926550728,0.006540053229,TUAS NORTH,TUAS,WEST REGION,12,34.03291929,34.46226791,34.03291929,28.02203868,35.75031375,32.49558007,26.04010928,36.46875895,32.31896503,26.04010928,32.82099198,31.52939527,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,9,0,295,4,0,0,0,0,0,0.04889138175,0.09856656256,0.1500582635,32.59421492
1.330016093,103.6451358,WATERBODY,0.0,0.01143379103,TUAS NORTH,TUAS,WEST REGION,9,33.60357067,34.03291929,33.60357067,28.45138729,34.46226791,31.27007954,26.04010928,35.30580373,32.57754346,26.04010928,32.17519363,31.52939527,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,9,0,295,4,0,0,0,0,0,0.04889138175,0.09856656256,0.1500582635,32.24514724
1.326463999,103.6417894,WATERBODY,0.0,0.01620787046,TUAS BAY,TUAS,WEST REGION,6,30.16878175,33.60357067,30.16878175,28.02203868,34.03291929,30.26633113,26.36300846,34.918152,31.42928635,27.33170599,32.17519363,31.04504651,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.72736144
1.324875084,103.6481866,ROAD,0.002244624024,0.01247790893,TUAS NORTH,TUAS,WEST REGION,11,34.03291929,34.46226791,34.03291929,27.16334145,34.89161652,31.42928635,26.04010928,35.69345547,31.42928635,26.04010928,32.17519363,31.52939527,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,9,0,295,4,0,0,0,0,0,0.04889138175,0.09856656256,0.1500582635,32.10522182
1.418507855,103.9088225,RESIDENTIAL,0.005733700663,0.0004723544962,NORTHSHORE,PUNGGOL,NORTH-EAST REGION,18,28.88073591,28.88073591,28.88073591,26.73399283,29.31008452,28.88073591,27.65460516,30.26633113,29.49102765,27.00880681,27.97750434,27.65460516,460,150,0,310,0,50,10,70,20,310,"5,146","9,897","9,542","11,021","10,337","9,577","7,009","6,845","5,632","4,402","3,765","2,587","5,218","4,558",45,0,11,0,60,21,0,2,0,0,0,0.06278905316,0.1283885518,0.1861285151,28.72677616
1.414354859,103.9033533,RESIDENTIAL,0.002349093319,0.002033149017,NORTHSHORE,PUNGGOL,NORTH-EAST REGION,20,28.88073591,28.88073591,28.88073591,26.73399283,29.31008452,28.88073591,27.65460516,30.26633113,29.49102765,27.00880681,27.97750434,27.65460516,460,150,0,310,0,50,10,70,20,310,"5,146","9,897","9,542","11,021","10,337","9,577","7,009","6,845","5,632","4,402","3,765","2,587","5,218","4,558",45,0,11,0,60,21,0,2,0,0,0,0.06278905316,0.1283885518,0.1861285151,28.72677616
1.402345388,103.8983318,OPEN SPACE,0.00586166517,0.0,MATILDA,PUNGGOL,NORTH-EAST REGION,21,31.88617621,33.60357067,33.17422206,28.02203868,34.03291929,30.26633113,26.36300846,34.918152,31.69084486,26.36300846,31.85229445,31.04504651,"52,200","42,540","9,670",0,0,"4,000","6,180","23,050","16,760","2,200","5,146","9,897","9,542","11,021","10,337","9,577","7,009","6,845","5,632","4,402","3,765","2,587","5,218","4,558",-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.54411114
